Date,Price,Open,High,Low,Vol.,Change %,Index
2/23/2025,"22,561.92","22,512.15","22,832.82","22,233.72",417.95M,1.23%,DAX
2/16/2025,"22,287.56","22,589.91","22,935.06","22,226.34",327.15M,-1.00%,DAX
2/9/2025,"22,513.42","21,830.93","22,624.57","21,785.02",348.64M,3.33%,DAX
2/2/2025,"21,787.00","21,301.53","21,945.31","21,252.71",349.99M,0.25%,DAX
1/26/2025,"21,732.05","21,201.99","21,800.52","21,081.61",368.61M,1.58%,DAX
1/19/2025,"21,394.93","20,900.68","21,520.50","20,880.57",286.31M,2.35%,DAX
1/12/2025,"20,903.39","20,157.24","20,924.50","20,025.28",345.22M,3.41%,DAX
1/5/2025,"20,214.79","19,982.66","20,480.49","19,921.12",322.18M,1.55%,DAX
12/29/2024,"19,906.08","19,892.97","20,031.11","19,833.82",123.48M,-0.39%,DAX
12/22/2024,"19,984.32","19,847.97","19,984.32","19,801.33",81.74M,0.50%,DAX
12/15/2024,"19,884.75","20,360.75","20,387.88","19,649.87",403.59M,-2.55%,DAX
12/8/2024,"20,405.92","20,461.85","20,522.82","20,277.63",292.41M,0.10%,DAX
12/1/2024,"20,384.61","19,586.17","20,425.86","19,568.50",309.75M,3.86%,DAX
11/24/2024,"19,626.45","19,462.24","19,640.15","19,145.01",329.10M,1.57%,DAX
11/17/2024,"19,322.59","19,249.26","19,338.10","18,812.53",294.47M,0.58%,DAX
11/10/2024,"19,210.81","19,386.70","19,546.90","18,838.68",389.93M,-0.02%,DAX
11/3/2024,"19,215.48","19,231.86","19,563.97","19,007.88",356.08M,-0.21%,DAX
10/27/2024,"19,254.97","19,528.67","19,643.12","19,004.97",262.32M,-1.07%,DAX
10/20/2024,"19,463.59","19,609.42","19,645.02","19,330.11",249.81M,-0.99%,DAX
10/13/2024,"19,657.37","19,409.69","19,674.68","19,392.64",269.86M,1.46%,DAX
10/6/2024,"19,373.83","19,150.27","19,377.10","18,911.72",256.27M,1.32%,DAX
9/29/2024,"19,120.93","19,412.33","19,449.98","18,952.44",291.83M,-1.81%,DAX
9/22/2024,"19,473.63","18,766.92","19,491.93","18,684.34",332.61M,4.03%,DAX
